username,password,role,regNo
student001,student1,student,BCY243001
student002,student1,student,BCY243002
student003,student1,student,BCY243003
student004,student1,student,BCY243004
student005,student1,student,BCY243005
student006,student1,student,BCY243006
student007,student1,student,BCY243007
student008,student1,student,BCY243008
student009,student1,student,BCY243009
student010,student1,student,BCY243010
student011,student1,student,BCY243011
student012,student1,student,BCY243012
student013,student1,student,BCY243013
student014,student1,student,BCY243014
student015,student1,student,BCY243015
student016,student1,student,BCY243016
student017,student1,student,BCY243017
student018,student1,student,BCY243018
student019,student1,student,BCY243019
student020,student1,student,BCY243020
student021,student1,student,BCY243021
student022,student1,student,BCY243022
Mohsin Rasul,student1,student,BCY243024
Junaid Ahmed,student1,student,BCY243053
Hasnain,student1,student,BCY243110
mohsin,0315,teacher,N/A
admin,0315,admin,N/A
